Participant,Cluster - MMHC (category),Cluster - MMHC binaire (category),Cont - L - Std,Default - L - Std,DorsAttn - L - Std,Limbic - L - Std,SalVentAttn - L - Std,SomMot - L - Std,Vis - L - Std,Cont - R - Std,Default - R - Std,DorsAttn - R - Std,Limbic - R - Std,SalVentAttn - R - Std,SomMot - R - Std,Vis - R - Std,Cont - Asym - Std,Default - Asym - Std,DorsAttn - Asym - Std,Limbic - Asym - Std,SalVentAttn - Asym - Std,SomMot - Asym - Std,Vis - Asym - Std,Cont - G2 - Std - L,Cont - G2 - Std - R,Cont - G2 - Std - Asym,Default - G2 - Std - L,Default - G2 - Std - R,Default - G2 - Std - Asym,DorsAttn - G2 - Std - L,DorsAttn - G2 - Std - R,DorsAttn - G2 - Std - Asym,Limbic - G2 - Std - L,Limbic - G2 - Std - R,Limbic - G2 - Std - Asym,SalVentAttn - G2 - Std - L,SalVentAttn - G2 - Std - R,SalVentAttn - G2 - Std - Asym,SomMot - G2 - Std - L,SomMot - G2 - Std - R,SomMot - G2 - Std - Asym,Vis - G2 - Std - L,Vis - G2 - Std - R,Vis - G2 - Std - Asym,Cont - G3 - R - Std,Cont - G3 - L - Std,Cont - G3 - asym - Std,Default - G3 - R - Std,Default - G3 - L - Std,Default - G3 - asym - Std,DorsAttn - G3 - R - Std,DorsAttn - G3 - L - Std,DorsAttn - G3 - asym - Std,Limbic - G3 - R - Std,Limbic - G3 - L - Std,Limbic - G3 - asym - Std,SalVentAttn - G3 - R - Std,SalVentAttn - G3 - L - Std,SalVentAttn - G3 - asym - Std,SomMot - G3 - R - Std,SomMot - G3 - L - Std,SomMot - G3 - asym - Std,Vis - G3 - R - Std,Vis - G3 - L - Std,Vis - G3 - asym - Std
694,strong_typical,Typical,56.57,81.79,24.18,58.79,22.98,11.12,17.89,61.76,79.59,23.22,59.07,22.29,11.45,17.69,-5.19,2.20,0.96,-0.28,0.69,-0.33,0.20,48.79,51.40,-2.60,54.61,52.24,2.38,38.62,40.09,-1.47,44.76,45.68,-0.92,20.41,18.96,1.46,13.23,16.44,-3.22,75.99,71.45,4.54,67.852315379,70.918564177,3.0662487981,30.321322276,31.010879804,0.6895575284,51.498733262,52.283180913,0.7844476509,33.386025305,30.854688512,-2.531336792,54.11081777,53.292501125,-0.818316645,25.238806567,26.078706098,0.8398995311,37.07973652,39.649414184,2.5696776641
3371,mild_typical,Typical,59.88,83.56,31.19,67.35,27.88,19.36,16.64,62.57,85.10,31.15,60.71,26.14,20.21,18.31,-2.69,-1.54,0.04,6.64,1.74,-0.85,-1.68,41.77,47.01,-5.24,49.81,48.84,0.97,38.39,35.11,3.28,41.97,41.25,0.72,15.20,13.59,1.61,5.90,6.77,-0.87,77.47,76.65,0.82,72.489931412,73.396742006,0.9068105937,25.015522179,26.811945422,1.7964232429,62.106124317,61.524235442,-0.581888875,30.116588072,29.484779954,-0.631808118,68.178737354,65.657028597,-2.521708757,23.115293272,24.197643504,1.0823502315,34.168429128,35.136053333,0.9676242042
7976,strong_typical,Typical,68.15,70.84,24.98,51.91,35.48,15.34,18.98,68.84,66.43,28.16,51.06,39.50,14.01,16.09,-0.70,4.42,-3.18,0.84,-4.02,1.33,2.89,51.92,53.71,-1.79,53.42,53.04,0.38,48.43,45.64,2.80,43.19,44.08,-0.88,22.07,22.45,-0.39,17.94,20.49,-2.55,76.81,77.78,-0.97,73.246234834,56.288590669,-16.95764416,30.407143919,24.62519466,-5.781949259,55.173789702,33.504534762,-21.66925494,28.467578589,27.183299802,-1.284278787,58.593906033,31.496997801,-27.09690823,16.768098864,14.60722552,-2.160873345,25.239508781,24.486610234,-0.752898547
8667,strong_typical,Typical,71.23,81.38,54.31,63.02,44.37,26.27,12.77,75.62,82.39,40.25,65.74,45.24,21.98,10.18,-4.40,-1.02,14.06,-2.72,-0.88,4.29,2.59,48.28,48.61,-0.33,50.87,52.26,-1.39,40.91,42.76,-1.85,50.78,54.45,-3.67,23.25,22.56,0.69,25.84,34.84,-8.99,84.40,87.67,-3.27,81.964722819,77.710989413,-4.253733406,34.601408025,38.601267546,3.9998595211,59.62669863,62.970047065,3.3433484353,24.212994349,29.075222585,4.8622282362,60.274162634,57.298974177,-2.975188457,24.628751706,27.936991099,3.3082393935,21.608418582,25.027624769,3.4192061868
3150,mild_typical,Typical,59.71,81.75,32.73,75.04,30.45,20.56,22.44,63.58,75.42,35.03,58.70,29.59,20.95,17.80,-3.87,6.33,-2.30,16.33,0.87,-0.39,4.65,51.19,55.22,-4.03,54.68,55.20,-0.52,46.81,48.23,-1.43,49.64,47.45,2.19,30.56,27.92,2.64,9.81,17.61,-7.80,81.95,83.96,-2.01,74.811034881,66.27994163,-8.531093251,40.092131268,30.543180345,-9.548950923,69.634868504,64.863965244,-4.77090326,42.394960694,29.269007676,-13.12595302,58.170266536,55.451988085,-2.718278451,28.746852941,29.605216695,0.8583637548,36.977382022,38.323377879,1.345995857
5057,mild_typical,Typical,70.91,78.63,33.20,56.99,27.65,8.81,15.03,76.64,77.68,25.31,46.31,28.75,9.89,16.01,-5.73,0.95,7.89,10.68,-1.11,-1.09,-0.99,54.96,56.59,-1.63,55.85,54.66,1.19,41.22,40.47,0.75,48.91,42.33,6.58,22.41,21.34,1.07,15.67,15.33,0.34,75.80,74.27,1.53,74.367659672,69.720596865,-4.647062807,35.208317645,35.614233451,0.4059158059,46.279211012,52.961867884,6.682656872,32.987370362,30.559844633,-2.427525728,46.950382352,44.791513929,-2.158868423,15.017411273,14.614549544,-0.402861728,26.846877905,24.724609165,-2.12226874
9473,Atypical,Atypical,66.46,74.13,30.23,62.23,31.38,13.76,17.08,79.25,72.59,24.49,52.22,31.79,15.72,15.99,-12.79,1.54,5.74,10.01,-0.41,-1.96,1.09,53.49,60.50,-7.01,57.18,56.17,1.02,49.33,50.01,-0.68,52.81,54.95,-2.14,28.43,26.74,1.70,22.87,20.38,2.49,84.00,79.66,4.35,65.402224381,83.972411463,18.570187082,25.276237933,49.765241327,24.489003394,47.962928812,54.527688726,6.5647599135,29.751364935,43.715632453,13.964267518,61.356779483,56.768341182,-4.588438301,23.374548137,23.295499443,-0.079048694,35.057979911,39.075163368,4.0171834568
1592,Atypical,Atypical,62.71,74.73,20.42,54.61,33.60,14.36,10.83,67.31,70.73,16.62,52.13,37.17,14.84,11.37,-4.60,4.00,3.79,2.48,-3.57,-0.48,-0.54,49.18,56.89,-7.72,51.84,52.41,-0.57,54.38,57.16,-2.79,53.54,52.94,0.60,27.28,29.18,-1.91,20.73,20.58,0.15,78.81,84.70,-5.90,70.546102223,74.998151091,4.4520488681,27.48559251,33.316602143,5.8310096326,48.86650187,51.626391612,2.7598897415,28.609651479,29.008992604,0.3993411257,50.153728045,44.305594533,-5.848133511,20.926355207,22.396787365,1.4704321574,35.090076266,31.248086995,-3.84198927
8172,Atypical,Atypical,55.46,77.66,23.88,54.10,25.96,12.12,11.59,65.63,77.21,19.68,55.16,32.78,13.61,13.24,-10.17,0.45,4.20,-1.06,-6.82,-1.49,-1.65,51.29,53.43,-2.15,52.42,55.50,-3.08,50.46,51.98,-1.52,51.17,55.34,-4.17,27.45,31.37,-3.92,8.34,7.79,0.55,81.28,82.57,-1.30,75.981397563,70.669771135,-5.311626429,25.587719104,21.419531553,-4.168187551,50.437659406,47.906896383,-2.530763022,33.312977384,30.830546755,-2.482430628,55.782333473,43.013249455,-12.76908402,11.605263172,11.280600568,-0.324662604,29.650612581,28.130953883,-1.519658699
6622,strong_typical,Typical,70.85,76.25,31.43,55.03,40.83,12.59,8.19,77.51,70.34,30.09,44.14,41.63,12.18,8.46,-6.66,5.91,1.34,10.89,-0.80,0.41,-0.26,49.72,51.66,-1.94,50.47,49.16,1.31,47.17,51.01,-3.84,39.26,36.01,3.25,27.59,27.16,0.43,18.72,25.14,-6.42,78.48,78.39,0.08,76.127232968,62.610146861,-13.51708611,32.413048351,33.597816154,1.1847678023,52.485446629,51.455146235,-1.030300394,31.454816631,25.028558932,-6.426257699,48.838854414,45.681800674,-3.15705374,13.132185087,11.709883923,-1.422301163,25.153659469,22.906283988,-2.247375481
4480,mild_typical,Typical,52.52,77.58,24.97,64.94,26.47,13.23,10.96,59.75,69.55,17.62,60.46,26.24,11.53,8.48,-7.23,8.03,7.35,4.48,0.22,1.70,2.48,44.04,48.92,-4.88,50.87,52.24,-1.37,36.01,31.66,4.35,53.82,52.92,0.90,21.62,23.80,-2.18,11.05,17.04,-5.99,81.98,82.81,-0.83,67.148968195,62.334090965,-4.81487723,24.282673753,22.901457815,-1.381215938,56.461070608,54.490454498,-1.97061611,23.172032253,18.827906047,-4.344126206,53.610999469,51.88809794,-1.722901529,25.487742735,30.436006444,4.9482637093,27.391297576,28.32590547,0.9346078943
717,mild_typical,Typical,50.84,79.87,31.57,74.89,31.16,15.61,17.22,65.14,81.78,29.90,67.45,29.14,16.43,17.36,-14.31,-1.91,1.67,7.44,2.02,-0.82,-0.14,44.78,49.65,-4.87,51.15,51.80,-0.65,38.40,41.25,-2.84,46.15,47.04,-0.89,26.17,23.29,2.88,14.34,17.08,-2.75,74.87,77.02,-2.15,70.995957184,78.355025126,7.3590679429,28.298205022,27.565810051,-0.73239497,69.468515887,72.652097758,3.1835818708,34.162053658,25.159042586,-9.003011072,55.815445833,52.22567489,-3.589770943,33.412231432,33.496261251,0.084029819,34.183875965,34.657085429,0.4732094636
2322,mild_typical,Typical,69.02,85.85,39.08,70.59,41.60,25.15,13.69,81.91,85.33,37.18,69.70,39.26,24.38,10.40,-12.89,0.52,1.90,0.89,2.34,0.77,3.29,45.27,49.77,-4.50,48.23,50.06,-1.82,38.11,39.96,-1.85,42.97,48.60,-5.63,25.00,21.63,3.37,20.90,23.44,-2.54,79.83,83.42,-3.60,81.879951255,80.073396174,-1.806555081,43.387838796,41.923690852,-1.464147945,70.665198424,75.835229989,5.1700315656,40.656084521,37.551549593,-3.104534928,63.529364553,62.432863887,-1.096500666,38.04623311,40.24577705,2.1995439399,34.584831939,37.857221676,3.2723897379
2572,mild_typical,Typical,71.11,73.31,30.07,53.07,32.56,16.09,11.33,74.77,69.28,26.04,55.14,29.98,15.12,8.15,-3.66,4.03,4.02,-2.07,2.58,0.96,3.18,49.02,51.76,-2.74,53.18,55.77,-2.59,40.17,42.00,-1.84,55.50,53.08,2.42,24.13,24.95,-0.81,16.32,26.07,-9.75,82.22,81.82,0.40,79.337054465,74.795508093,-4.541546372,30.60482107,27.737698223,-2.867122847,46.519878233,48.737325729,2.2174474959,26.560861191,21.858657245,-4.702203946,53.919287321,45.63517517,-8.284112151,15.443500177,13.999104948,-1.444395229,19.021845883,18.365488559,-0.656357324
7270,strong_typical,Typical,64.46,69.13,29.16,59.45,23.13,5.40,14.06,60.78,68.42,27.34,60.73,22.73,8.06,13.54,3.68,0.71,1.82,-1.29,0.40,-2.65,0.52,55.30,56.44,-1.14,59.02,58.67,0.35,59.69,51.66,8.03,60.75,56.99,3.76,24.18,20.76,3.42,9.22,11.57,-2.35,88.26,88.08,0.17,64.360444365,67.674979316,3.3145349516,23.161790715,24.077947993,0.9161572789,52.019939116,49.155974231,-2.863964885,28.764082581,30.889102524,2.1250199427,46.756171406,38.331994272,-8.424177134,24.371158044,25.277850508,0.9066924639,30.455800375,31.179179126,0.7233787515
8312,mild_typical,Typical,68.93,84.04,40.38,76.24,46.49,34.48,20.20,68.50,79.14,33.23,75.41,31.44,32.76,14.72,0.42,4.90,7.15,0.82,15.05,1.73,5.48,42.17,41.49,0.68,46.30,42.41,3.90,36.32,31.33,5.00,41.82,41.03,0.78,19.36,13.97,5.39,18.02,17.26,0.76,81.90,84.70,-2.80,71.387782804,78.45157495,7.0637921454,41.401501265,38.670467772,-2.731033493,70.450173023,73.562879103,3.1127060801,39.508665236,39.389841566,-0.11882367,59.743932767,64.625568459,4.8816356919,47.599793183,49.206936834,1.6071436506,35.138499155,34.976889926,-0.161609228
1457,mild_typical,Typical,69.82,81.86,28.77,61.31,34.55,11.61,15.46,76.51,77.12,22.37,47.74,34.07,9.71,12.66,-6.68,4.74,6.40,13.58,0.49,1.90,2.80,51.92,55.72,-3.79,55.10,53.83,1.27,39.30,45.39,-6.09,46.81,47.64,-0.84,30.90,32.48,-1.58,12.20,14.73,-2.52,76.00,75.93,0.07,74.374235074,80.779454453,6.4052193789,36.219404654,31.648156678,-4.571247976,47.233815181,48.439395096,1.2055799144,36.58803869,33.078098067,-3.509940623,50.312098179,51.607245536,1.2951473567,16.905560807,16.20671007,-0.698850736,27.556045198,31.006917141,3.4508719427
1795,mild_typical,Typical,68.04,77.11,38.68,69.91,26.72,16.51,16.37,68.12,78.76,27.64,61.87,25.03,16.98,15.81,-0.09,-1.65,11.04,8.05,1.69,-0.47,0.56,52.62,55.43,-2.81,52.14,51.82,0.32,48.37,40.57,7.80,48.52,45.80,2.72,21.44,19.12,2.32,11.52,13.08,-1.56,81.15,78.15,3.01,73.855379997,69.826667409,-4.028712588,27.746082174,25.623892645,-2.122189529,57.603653754,58.0588849,0.4552311462,26.093186947,22.618751326,-3.474435621,41.854809066,42.146701017,0.2918919507,20.66944733,22.636220152,1.9667728215,32.137229786,30.801926416,-1.335303369
2477,strong_typical,Typical,63.57,82.65,24.06,66.53,27.76,15.69,16.15,65.34,78.05,14.03,50.44,22.65,16.54,13.26,-1.77,4.60,10.02,16.09,5.11,-0.85,2.89,57.32,57.68,-0.36,57.41,58.62,-1.21,47.87,63.48,-15.61,55.93,54.81,1.11,24.35,22.18,2.17,14.41,17.24,-2.83,84.60,86.28,-1.68,73.508678963,68.513609081,-4.995069881,28.486072821,29.918750553,1.4326777315,60.506318698,61.731454255,1.225135557,34.844305222,29.688989535,-5.155315687,57.851503363,49.37510154,-8.476401823,32.584095422,31.012031736,-1.572063686,42.443193279,43.136137477,0.6929441987
6901,mild_typical,Typical,62.10,82.66,27.07,60.81,36.19,17.86,10.29,67.61,79.00,23.59,55.87,33.34,17.68,11.33,-5.51,3.65,3.48,4.94,2.85,0.18,-1.05,47.99,49.44,-1.45,53.76,53.22,0.54,51.82,44.67,7.16,54.24,49.46,4.78,25.41,24.62,0.79,19.87,21.04,-1.17,87.27,87.16,0.11,75.137762393,63.446579839,-11.69118255,37.99832513,29.086294879,-8.912030251,72.142024729,67.820421846,-4.321602884,33.777565036,33.123473406,-0.654091631,72.185037263,56.336835778,-15.84820148,24.945466891,22.856857843,-2.088609048,37.120597667,32.030577233,-5.090020434
7192,mild_typical,Typical,59.64,83.94,43.93,63.43,39.32,30.23,18.02,69.97,82.43,43.84,66.86,36.13,31.64,18.44,-10.33,1.51,0.10,-3.43,3.19,-1.41,-0.42,37.13,41.26,-4.14,46.97,46.22,0.75,38.99,34.19,4.79,44.64,48.30,-3.65,17.33,15.40,1.93,15.78,16.82,-1.05,84.87,81.67,3.20,80.383918974,76.863592548,-3.520326426,33.599043232,30.220308881,-3.378734351,74.289537984,65.082915085,-9.206622899,41.492720311,39.615199147,-1.877521164,58.817124607,55.70928065,-3.107843957,36.919076413,35.024638732,-1.894437682,34.365573841,32.545907233,-1.819666608
1729,strong_typical,Typical,70.27,76.96,21.42,68.98,39.25,14.78,11.58,73.85,79.30,17.61,50.73,41.69,15.33,8.43,-3.58,-2.35,3.81,18.25,-2.44,-0.55,3.15,47.26,51.57,-4.31,52.22,57.08,-4.86,43.66,49.93,-6.27,45.73,39.07,6.66,36.28,40.63,-4.34,8.23,10.19,-1.96,84.25,85.56,-1.31,80.470761785,73.793192172,-6.677569613,43.274078185,28.905996938,-14.36808125,46.264756085,46.893775089,0.6290190034,30.451773502,40.618313254,10.166539752,63.586872736,54.183956752,-9.402915984,21.177513205,20.210020544,-0.967492662,37.63610836,38.084916876,0.448808516
4304,strong_typical,Typical,55.51,77.32,28.85,56.73,31.06,13.85,15.98,65.63,73.66,26.57,48.62,31.74,16.16,12.98,-10.12,3.67,2.28,8.11,-0.68,-2.31,3.00,48.38,52.39,-4.02,50.46,50.39,0.06,44.02,42.74,1.28,47.39,50.08,-2.69,25.05,21.35,3.70,13.98,13.66,0.32,81.84,83.41,-1.58,73.241165547,70.692068339,-2.549097208,29.020313604,27.37915592,-1.641157684,60.990139459,62.737488213,1.7473487538,37.877505836,31.443826782,-6.433679054,46.122517461,47.400048973,1.2775315115,24.308201704,28.642607015,4.3344053105,31.912976576,32.440310541,0.5273339641
155,mild_typical,Typical,59.84,78.64,28.55,64.68,27.44,13.83,19.37,67.86,73.80,28.76,64.37,30.60,12.04,17.16,-8.03,4.84,-0.21,0.31,-3.17,1.79,2.21,48.04,52.19,-4.15,55.92,55.59,0.33,43.16,44.25,-1.10,53.28,52.17,1.11,20.42,19.80,0.62,19.13,19.36,-0.23,79.04,80.40,-1.36,74.715608149,79.716950294,5.001342145,29.246946536,31.079240278,1.8322937413,53.992863796,57.893144822,3.9002810261,20.967106231,30.720511976,9.7534057457,53.56619911,50.572398375,-2.993800735,25.994011276,30.659944778,4.6659335025,33.7523077,32.73068021,-1.02162749
5912,mild_typical,Typical,61.83,80.92,35.48,71.55,32.68,20.85,14.63,69.96,77.44,33.79,64.44,26.44,21.76,16.02,-8.13,3.48,1.69,7.11,6.24,-0.91,-1.38,44.80,47.15,-2.35,48.89,48.52,0.37,42.20,39.47,2.74,44.07,43.96,0.10,20.43,17.66,2.77,15.01,18.68,-3.67,77.35,73.76,3.59,67.669653833,57.629994007,-10.03965983,32.325016193,27.75047171,-4.574544483,74.472090549,66.751147171,-7.720943378,34.883716371,28.659320255,-6.224396116,53.857752698,46.174192213,-7.683560485,29.273024098,29.145673959,-0.12735014,33.049016491,28.060027318,-4.988989172
296,strong_typical,Typical,60.58,80.66,30.57,74.76,30.10,29.70,16.61,63.36,72.35,27.75,63.58,21.25,27.25,11.32,-2.78,8.31,2.81,11.19,8.85,2.45,5.29,50.41,53.96,-3.55,50.93,50.82,0.12,45.76,49.60,-3.85,46.55,48.09,-1.53,26.12,23.90,2.22,20.59,19.63,0.97,77.90,81.62,-3.72,84.079772023,79.735029356,-4.344742668,39.79554615,31.99489795,-7.8006482,73.715260223,72.617922967,-1.097337256,39.484405465,28.713962203,-10.77044326,62.502379412,61.721802877,-0.780576535,35.290104356,34.316379668,-0.973724688,45.220019936,46.044068766,0.8240488299
4562,strong_typical,Typical,56.70,84.59,28.82,73.95,28.93,12.53,14.16,57.48,73.76,17.20,68.12,17.84,13.62,10.01,-0.78,10.83,11.61,5.83,11.09,-1.09,4.16,51.06,48.45,2.62,52.97,52.34,0.63,47.09,40.18,6.91,52.36,53.95,-1.59,26.44,20.34,6.11,16.82,17.65,-0.83,76.64,80.68,-4.04,71.324496093,70.181683888,-1.142812205,34.844505089,26.722172953,-8.122332136,71.281295523,74.82433159,3.5430360672,37.534245083,34.635316888,-2.898928195,59.790792125,54.993205092,-4.797587033,37.791111544,43.569716109,5.7786045646,37.869957849,41.229165127,3.3592072782
4881,Atypical,Atypical,59.51,74.42,33.30,54.20,31.34,14.27,12.56,70.36,68.46,29.86,48.78,32.50,13.67,12.01,-10.85,5.95,3.44,5.42,-1.16,0.60,0.54,46.78,51.97,-5.19,50.59,51.08,-0.49,41.36,42.94,-1.58,43.60,44.10,-0.51,29.87,30.22,-0.35,8.79,11.10,-2.31,77.24,80.36,-3.12,68.503079725,79.942187106,11.439107381,25.372737513,28.065120267,2.6923827538,53.099488774,51.501606706,-1.597882067,28.977220885,20.729986322,-8.247234563,51.667080215,45.617149079,-6.049931137,15.182598703,13.909863258,-1.272735445,28.01057092,27.750329924,-0.260240995
4070,mild_typical,Typical,65.84,84.19,31.53,66.76,38.49,11.79,22.39,73.60,82.33,36.69,67.00,41.04,13.47,18.50,-7.76,1.86,-5.16,-0.25,-2.56,-1.68,3.89,54.03,59.23,-5.20,63.09,64.17,-1.08,47.24,43.47,3.77,50.06,51.03,-0.98,34.19,27.15,7.04,35.46,33.40,2.06,83.52,84.39,-0.87,66.505755944,71.368280229,4.8625242841,27.573566798,28.713366589,1.1397997917,58.115720824,47.99680596,-10.11891486,31.582350445,26.284783749,-5.297566696,53.4039025,49.065475532,-4.338426967,21.000003135,18.22333588,-2.776667256,24.918281034,24.032655611,-0.885625423
4971,strong_typical,Typical,56.97,68.10,30.22,69.94,35.20,15.96,17.15,65.81,70.33,33.15,59.28,40.32,16.74,16.18,-8.85,-2.23,-2.93,10.66,-5.12,-0.78,0.96,48.52,51.37,-2.85,47.97,48.92,-0.94,57.53,60.98,-3.45,45.58,52.65,-7.07,15.68,17.09,-1.41,13.45,12.74,0.71,82.18,81.57,0.61,69.140188545,72.566099955,3.4259114096,29.079285394,28.358211556,-0.721073838,57.162796499,55.070556701,-2.092239798,32.830241323,31.042827693,-1.78741363,53.713322632,42.773274349,-10.94004828,21.797912957,23.194753976,1.3968410197,36.013181793,36.381771895,0.368590102
2857,strong_typical,Typical,58.84,79.84,29.81,76.25,38.78,23.89,15.17,62.82,77.88,28.68,70.49,37.96,24.37,12.23,-3.98,1.96,1.12,5.76,0.81,-0.48,2.94,40.95,43.89,-2.94,47.98,50.43,-2.45,48.06,42.27,5.79,45.74,47.55,-1.81,22.78,23.69,-0.91,12.14,16.30,-4.16,85.79,87.53,-1.74,79.20621914,83.033969283,3.8277501421,30.997846064,36.822747827,5.8249017632,63.082922674,59.458082272,-3.624840402,30.142731263,27.787815791,-2.354915472,66.643612071,64.54757714,-2.09603493,32.419802742,33.230678345,0.8108756035,38.391189009,39.287779774,0.8965907651
3132,strong_typical,Typical,62.67,82.84,45.42,62.83,39.15,25.44,11.74,65.38,74.42,34.83,58.83,38.10,23.52,9.95,-2.71,8.41,10.59,4.00,1.05,1.92,1.79,35.28,42.37,-7.09,47.14,43.29,3.85,36.60,35.01,1.59,43.99,45.27,-1.28,19.24,18.55,0.69,15.39,21.00,-5.61,83.02,83.67,-0.65,80.707815472,74.716054527,-5.991760945,44.512725364,27.470443731,-17.04228163,67.7046021,65.057758668,-2.646843432,36.69774358,30.188427007,-6.509316573,69.060275457,58.373839645,-10.68643581,28.945087834,32.283601314,3.3385134808,28.41053767,25.917424209,-2.493113461
4772,strong_typical,Typical,59.89,82.61,25.49,57.88,33.93,15.20,11.11,69.80,76.20,21.95,58.52,37.34,15.38,10.09,-9.91,6.41,3.54,-0.64,-3.41,-0.18,1.02,49.47,49.90,-0.43,53.75,53.59,0.16,48.70,46.45,2.25,50.68,45.05,5.63,29.05,24.69,4.36,16.73,17.02,-0.29,82.89,83.56,-0.67,73.340764868,69.69662892,-3.644135948,32.079963324,19.496571556,-12.58339177,63.334252283,61.325343668,-2.008908615,24.497173182,26.194600264,1.6974270821,57.55119215,49.619028586,-7.932163564,18.207190906,20.681524135,2.4743332284,29.360155095,29.668229617,0.308074522
3964,mild_typical,Typical,54.04,75.01,21.36,49.99,31.38,17.15,9.39,65.08,73.36,17.13,54.73,34.12,18.88,6.32,-11.04,1.66,4.22,-4.74,-2.74,-1.74,3.07,53.24,53.78,-0.55,55.07,51.90,3.17,58.74,61.67,-2.93,43.90,50.82,-6.92,23.63,25.62,-1.99,24.63,20.61,4.01,83.58,86.02,-2.44,71.059522545,75.202898419,4.1433758745,32.815026255,31.364206349,-1.450819906,68.474273248,67.176338293,-1.297934955,22.402676086,27.900028346,5.4973522596,65.453866168,58.389370436,-7.064495731,24.890814938,25.931814988,1.0410000497,38.237007635,37.781608354,-0.455399281
4056,strong_typical,Typical,62.34,70.82,22.35,59.69,29.98,15.40,9.88,68.97,72.84,17.55,50.90,33.39,15.53,7.64,-6.63,-2.02,4.80,8.80,-3.41,-0.13,2.24,49.83,52.65,-2.82,48.54,50.40,-1.86,48.80,47.64,1.15,42.19,41.12,1.07,21.47,24.40,-2.92,7.32,8.08,-0.76,84.13,86.35,-2.22,68.589739831,66.12053388,-2.469205951,31.062063808,27.715644381,-3.346419427,52.924851091,60.080930044,7.1560789525,32.216278366,25.118531189,-7.097747178,58.693625302,51.720513171,-6.973112131,16.485670455,14.547921277,-1.937749178,34.27136382,35.358876247,1.0875124269
7309,Atypical,Atypical,48.20,74.76,25.60,71.35,30.47,20.66,15.22,64.40,84.48,28.65,63.53,36.86,14.45,15.71,-16.20,-9.72,-3.05,7.82,-6.39,6.21,-0.50,31.98,47.57,-15.59,51.98,59.48,-7.51,32.00,46.44,-14.44,50.07,58.94,-8.87,12.71,19.62,-6.91,23.42,37.28,-13.86,77.08,79.51,-2.44,56.987904913,82.93092893,25.943024017,14.577129481,30.195432458,15.618302977,47.368805366,63.154965366,15.78616,27.494603807,37.065179981,9.5705761744,56.724523954,60.315795822,3.591271868,36.686019362,42.551294628,5.8652752663,29.70711814,28.175194956,-1.531923183
2655,strong_typical,Typical,48.34,76.87,26.23,60.51,33.33,14.14,12.40,52.77,77.48,26.42,56.87,29.63,17.15,11.12,-4.43,-0.61,-0.19,3.65,3.69,-3.01,1.29,42.76,43.85,-1.10,50.76,50.59,0.17,42.36,44.64,-2.28,48.07,44.81,3.26,22.46,18.52,3.94,6.94,9.72,-2.77,82.76,83.84,-1.07,72.514779007,75.396968932,2.8821899241,22.345949563,22.714445645,0.3684960822,65.712279606,62.98604241,-2.726237197,38.995200067,32.835380738,-6.159819329,68.543203572,57.642343361,-10.90086021,31.031932062,22.525033338,-8.506898724,32.571530013,35.622667974,3.0511379601
7428,mild_typical,Typical,56.59,76.79,27.35,77.77,24.81,20.29,12.79,67.99,74.64,25.40,65.46,23.28,23.07,13.68,-11.40,2.15,1.95,12.31,1.53,-2.78,-0.89,44.96,51.76,-6.80,51.91,49.81,2.11,41.49,38.81,2.68,48.46,48.65,-0.20,13.33,16.44,-3.11,12.67,19.82,-7.15,84.78,83.90,0.87,68.071173895,76.439377063,8.3682031683,29.443451011,31.181050189,1.737599178,75.499769871,73.469904263,-2.029865608,42.527706726,26.783798112,-15.74390861,53.028725103,50.533393097,-2.495332006,36.613308481,31.488396982,-5.124911499,31.507300288,30.953632983,-0.553667304
470,strong_typical,Typical,68.28,80.21,36.25,67.71,38.98,25.10,17.30,75.38,79.71,35.11,63.08,34.36,24.47,16.14,-7.10,0.50,1.13,4.63,4.62,0.64,1.16,40.75,45.18,-4.43,45.88,44.81,1.07,38.70,29.95,8.75,45.21,38.51,6.70,19.59,17.59,2.00,9.48,13.82,-4.34,79.07,81.38,-2.31,79.781018191,83.749398529,3.9683803386,31.061506252,31.219189088,0.1576828367,48.370434964,55.249673812,6.8792388475,30.712983524,33.174177607,2.4611940833,54.135201258,53.748402134,-0.386799125,24.465649547,27.086520833,2.6208712857,28.261338804,30.31709827,2.055759466
52,Atypical,Atypical,62.56,79.17,33.21,55.19,32.39,20.97,15.58,72.41,76.04,26.65,64.14,35.88,18.47,13.81,-9.85,3.13,6.56,-8.95,-3.49,2.50,1.77,46.55,48.71,-2.16,54.28,53.04,1.24,44.67,43.52,1.15,47.06,50.38,-3.32,24.87,24.02,0.85,13.38,18.43,-5.05,84.36,82.76,1.60,71.858442825,77.053856815,5.1954139904,31.229217844,32.955232495,1.7260146515,63.318652122,66.505422416,3.186770294,32.450790051,29.957376159,-2.493413892,71.072717537,58.497521581,-12.57519596,20.918629424,23.154608551,2.2359791271,31.439064798,29.674066591,-1.764998207
