Participant,Cluster - MMHC (category),Cluster - MMHC binaire (category),Cont - L - Std,Default - L - Std,DorsAttn - L - Std,Limbic - L - Std,SalVentAttn - L - Std,SomMot - L - Std,Vis - L - Std,Cont - R - Std,Default - R - Std,DorsAttn - R - Std,Limbic - R - Std,SalVentAttn - R - Std,SomMot - R - Std,Vis - R - Std,Cont - Asym - Std,Default - Asym - Std,DorsAttn - Asym - Std,Limbic - Asym - Std,SalVentAttn - Asym - Std,SomMot - Asym - Std,Vis - Asym - Std,Cont - G2 - Std - L,Cont - G2 - Std - R,Cont - G2 - Std - Asym,Default - G2 - Std - L,Default - G2 - Std - R,Default - G2 - Std - Asym,DorsAttn - G2 - Std - L,DorsAttn - G2 - Std - R,DorsAttn - G2 - Std - Asym,Limbic - G2 - Std - L,Limbic - G2 - Std - R,Limbic - G2 - Std - Asym,SalVentAttn - G2 - Std - L,SalVentAttn - G2 - Std - R,SalVentAttn - G2 - Std - Asym,SomMot - G2 - Std - L,SomMot - G2 - Std - R,SomMot - G2 - Std - Asym,Vis - G2 - Std - L,Vis - G2 - Std - R,Vis - G2 - Std - Asym,Cont - G3 - R - Std,Cont - G3 - L - Std,Cont - G3 - asym - Std,Default - G3 - R - Std,Default - G3 - L - Std,Default - G3 - asym - Std,DorsAttn - G3 - R - Std,DorsAttn - G3 - L - Std,DorsAttn - G3 - asym - Std,Limbic - G3 - R - Std,Limbic - G3 - L - Std,Limbic - G3 - asym - Std,SalVentAttn - G3 - R - Std,SalVentAttn - G3 - L - Std,SalVentAttn - G3 - asym - Std,SomMot - G3 - R - Std,SomMot - G3 - L - Std,SomMot - G3 - asym - Std,Vis - G3 - R - Std,Vis - G3 - L - Std,Vis - G3 - asym - Std
3976,strong_typical,Typical,53.80,82.98,32.98,77.19,40.38,20.08,12.85,66.35,82.83,27.28,71.28,32.93,22.78,12.06,-12.55,0.15,5.70,5.91,7.45,-2.70,0.79,40.42,45.67,-5.25,47.58,48.21,-0.63,41.94,35.48,6.46,44.95,46.32,-1.37,25.00,15.89,9.11,19.10,19.27,-0.16,79.77,82.93,-3.16,71.740691405,82.259864351,10.519172946,24.757851772,24.458252711,-0.299599061,66.397418399,70.408431237,4.0110128382,28.149886839,29.102530013,0.9526431735,61.525727952,55.861438951,-5.664289001,30.691076607,34.559116611,3.8680400033,30.510925806,32.969412189,2.458486383
7671,strong_typical,Typical,62.90,77.72,37.02,56.80,34.53,14.87,14.91,65.70,77.05,28.55,50.69,30.60,14.62,12.74,-2.80,0.67,8.47,6.11,3.93,0.25,2.17,50.61,50.44,0.17,52.83,52.45,0.38,40.96,39.25,1.71,48.83,48.55,0.28,31.78,27.00,4.78,11.04,13.61,-2.57,81.30,81.95,-0.65,67.058659799,74.314329054,7.2556692553,29.787561805,33.907590456,4.1200286508,65.260207686,64.830672259,-0.429535427,37.521159574,32.369465663,-5.151693911,51.07615821,55.06166197,3.9855037602,19.666869284,20.416969767,0.7501004827,30.460053106,34.882558279,4.4225051734
7153,mild_typical,Typical,70.74,84.43,48.48,73.86,43.12,17.96,24.23,70.11,82.82,37.35,72.48,41.96,19.22,20.79,0.63,1.62,11.13,1.38,1.15,-1.25,3.44,50.53,50.65,-0.12,55.96,55.93,0.04,50.33,51.04,-0.70,52.42,51.45,0.97,26.29,23.63,2.66,18.75,22.58,-3.83,78.84,80.70,-1.86,75.129248849,76.805081476,1.6758326271,36.649336897,34.143056345,-2.506280552,67.974168859,68.244989345,0.2708204856,38.073323325,37.579089273,-0.494234053,69.10836903,61.436830355,-7.671538675,21.642762861,15.988247323,-5.654515537,31.961139008,30.048148995,-1.912990013
6493,mild_typical,Typical,60.15,81.89,32.35,57.24,30.34,23.43,15.10,64.73,72.76,25.35,47.15,20.98,15.27,10.74,-4.58,9.13,7.00,10.09,9.36,8.16,4.36,46.43,51.61,-5.19,53.21,50.94,2.27,44.08,35.92,8.17,47.23,47.58,-0.34,23.82,17.46,6.36,21.10,15.10,6.00,74.50,76.28,-1.78,65.610529587,62.665728202,-2.944801386,33.217509626,26.320132776,-6.89737685,71.977178455,73.530305749,1.5531272942,43.058759245,32.810815041,-10.2479442,46.35549092,42.733886956,-3.621603964,29.742037639,28.530957851,-1.211079788,31.465701066,32.699916518,1.2342154516
7430,mild_typical,Typical,59.69,77.76,34.38,66.75,30.75,20.01,14.06,63.63,76.03,32.60,70.17,28.36,21.47,13.49,-3.94,1.73,1.79,-3.42,2.39,-1.46,0.56,50.28,50.69,-0.40,53.56,52.14,1.42,48.66,44.94,3.72,48.10,53.48,-5.37,21.33,17.16,4.17,13.80,16.96,-3.16,81.19,83.17,-1.98,72.454344693,78.718590384,6.2642456903,28.696294505,29.627524464,0.9312299598,68.589880394,65.519881704,-3.06999869,32.92681537,33.785459812,0.8586444413,54.984517006,54.561306025,-0.423210981,34.699765768,33.545452714,-1.154313055,32.477395188,35.510920447,3.0335252588
1179,strong_typical,Typical,52.42,80.26,25.24,55.55,34.12,17.85,10.89,66.36,80.17,28.15,54.90,32.95,19.70,9.15,-13.93,0.08,-2.91,0.65,1.17,-1.85,1.74,45.49,50.13,-4.64,53.64,53.05,0.59,47.69,52.36,-4.67,48.52,46.96,1.56,25.45,21.97,3.48,20.39,17.81,2.58,81.17,83.58,-2.41,70.417716458,73.170503719,2.7527872609,35.018736019,34.76948255,-0.24925347,61.216885019,59.461681187,-1.755203832,31.403464298,30.734476673,-0.668987625,72.050371266,62.726771144,-9.323600122,25.209328935,27.817348661,2.6080197255,40.593256163,39.054443818,-1.538812345
1081,strong_typical,Typical,55.06,79.92,30.39,79.49,27.24,15.39,16.50,60.39,80.69,25.11,74.23,21.94,14.90,16.36,-5.33,-0.77,5.28,5.26,5.30,0.49,0.14,52.02,55.97,-3.95,54.88,54.78,0.10,45.95,40.60,5.35,55.26,56.78,-1.52,23.11,17.53,5.58,15.73,22.34,-6.61,83.37,81.73,1.64,72.209455406,72.516036909,0.3065815027,27.963580576,29.371548723,1.4079681472,63.152002668,64.78806162,1.6360589517,33.145439066,29.163618625,-3.981820441,58.101853733,56.481336022,-1.620517711,33.009701406,34.515076227,1.5053748214,38.994784486,36.301257752,-2.693526734
305,strong_typical,Typical,66.00,81.64,41.30,67.55,39.27,20.16,13.88,70.26,83.62,39.10,60.40,39.91,19.94,10.60,-4.27,-1.98,2.21,7.14,-0.64,0.22,3.28,42.44,44.56,-2.11,46.00,47.07,-1.06,35.67,28.28,7.39,43.94,41.70,2.24,20.62,19.90,0.72,4.88,5.76,-0.87,82.26,83.76,-1.50,77.24059551,72.860616024,-4.379979486,30.105643903,28.996087533,-1.109556371,72.189561093,67.384819626,-4.804741467,37.93355236,36.195595784,-1.737956575,74.897722478,65.050686787,-9.847035691,20.835588951,22.046589863,1.2110009122,30.865801232,30.195818517,-0.669982716
771,strong_typical,Typical,64.44,83.44,40.66,64.68,37.04,13.96,14.50,71.29,80.49,39.84,53.99,36.62,13.04,11.09,-6.85,2.95,0.82,10.69,0.43,0.92,3.41,46.88,50.13,-3.25,52.19,52.08,0.11,44.67,44.62,0.05,48.39,43.01,5.38,25.34,22.30,3.04,13.27,11.91,1.36,78.71,77.92,0.79,77.673712988,75.312199117,-2.361513871,38.226308505,33.089064124,-5.13724438,71.381278316,66.742254608,-4.639023709,35.00255588,23.439483517,-11.56307236,64.084123809,51.168673344,-12.91545046,18.738735489,21.524530893,2.7857954045,27.642488222,28.08504825,0.4425600271
2888,strong_typical,Typical,70.92,79.24,37.41,58.64,41.11,16.73,12.75,73.23,82.40,33.79,64.43,43.29,15.16,11.06,-2.31,-3.16,3.61,-5.79,-2.18,1.57,1.70,48.76,48.01,0.75,51.41,51.56,-0.15,43.52,37.38,6.15,46.02,46.44,-0.43,25.36,24.02,1.33,12.04,13.95,-1.91,85.44,82.29,3.15,85.685015576,71.792385735,-13.89262984,31.419455309,29.932833789,-1.48662152,56.206313164,60.38966575,4.1833525854,40.855281925,32.680118815,-8.17516311,60.109250426,48.840141172,-11.26910925,22.473822065,23.776709417,1.3028873517,29.414965473,29.428020799,0.0130553263
5685,strong_typical,Typical,66.95,78.92,31.52,55.87,30.63,15.30,11.45,73.06,76.70,30.57,41.46,32.47,14.62,11.26,-6.11,2.22,0.95,14.42,-1.83,0.68,0.19,52.38,55.13,-2.76,53.79,54.66,-0.87,53.61,42.81,10.79,42.92,42.52,0.40,27.40,28.94,-1.54,11.15,9.42,1.73,82.66,81.10,1.55,71.325480085,64.829935061,-6.495545023,33.087255642,28.147984973,-4.939270669,57.9931734,48.180864973,-9.812308427,34.398622548,28.651194742,-5.747427807,56.555346296,44.752301348,-11.80304495,11.538001907,11.225276105,-0.312725803,29.310884489,28.485129952,-0.825754537
